N.;Comune;Località;Titolare Concessione;Tipologia concessoria (L.R. 13/2007 e R.R. n. 11/2009);N. Concess. Data rilascio;Denominazione;Superficie scoperta mq.;Opere facile rimozione mq.;Opere difficile rimozione mq.;Pertinenze  mq.;Totale superficie coperta mq.;Fronte mare metri lineari;Specchio acqueo mq.
46;TERRACINA;VIALE CIRCE ALTEZZA PIAZZALE LIDO;"""CITTA' DI TERRACINA""- ARENILE COMUNALE ATTREZZATO";SA;Conc. N. N. 296/2011;;17473,09;11,91;;;11,91;350,5;
47;TERRACINA;VIALE CIRCE ALTEZZA PIAZZALE LIDO;CILLI MARCELLA;ER;Conc. N. N. 163/2004;;;40;;83,45;123,45;;
48;TERRACINA;VIALE CIRCE ALTEZZA XXIVø  TRAVERSA;SOC. ELOS DI CAMPI CLAUDIA & C. S.N.C.;SB;Conc. N. N. 242/2008;"STABILIMENTO BALNEARE ""PICCOLA OASI""";3750,49;99,51;;;99,51;70;
49;TERRACINA;VIALE CIRCE ALTEZZA VIA COIRA;COLELLA GIUSEPPINA;SB;Conc. N. N. 260/2008;"STABILIMENTO BALNEARE ""IL DELFINO""";2679,96;120,04;;;120,04;70;
50;TERRACINA;VIALE CIRCE ALTEZZA VIA COIRA;SOC. VELA 2000 DI COSTAGLIOLA VINCENZO & C. S.A.S.;SB;Conc. N. N. 251/2008;"STABILIMENTO BALNEARE ""LA VELA""";2686,32;113,68;;;113,68;70;
51;TERRACINA;VIALE CIRCE ALTEZZA VIA LOMBARDIA;SOC. LIDO TAMOA DI VALERIO MARIGLIANI & C. S.A.S.;SB;Conc. N. N. 237/2008;"STABILIMENTO BALNEARE ""LIDO TAMOA""";2982,05;92,45;;;92,45;71,5;
52;TERRACINA;VIALE CIRCE ALTEZZA VIA PIEMONTE;MANZI PIERO;SB;Conc. N. N. 236/2008;"STABILIMENTO BALNEARE ""LA CONCHIGLIA""";2706,22;93,78;;;93,78;70;
53;TERRACINA;VIALE CIRCE ALTEZZA VIA BAD HOMBURG;IANNACCI IRENE;SB;Conc. N. N. 240/2008;"STABILIMENTO BALNEARE ""PICCOLO LIDO""";3080,57;69,43;;;69,43;70;
54;TERRACINA;VIALE CIRCE ALTEZZA VIA VALLE D'AOSTA;ROSSI ANNA OLFERINA;SB;Conc. N. N. 239/2008;"STABILIMENTO BALNEARE ""LA PERLA""";2496,08;103,92;;;103,92;65;
55;TERRACINA;VIA BADINO VECCHIA , I^ TRAV. SX;SOC. DREAM CAMPING S.R.L.;SR;Conc. N. N. 262/2008;"""STELLA MARINA""";5014,94;185,06;;;185,06;130;
56;TERRACINA;LOCALITA' FOCE FIUME CANNETO SPONDA DX;SOC. ROMANTIC CAMPING S.A.S. DI FUSCO ALDO & C.;SR;Conc. N. N. 284/2009;"""IL ROMANTICO""";2161,91;148,09;;;148,09;105;
57;TERRACINA;VIALE CIRCE ALTEZZA VIA TRENTINO;CIOCIA MARCELLO;SB;Conc. N. N. 274/2008;"STABILIMENTO BALNEARE ""RIVA DEL MARE""";2700,03;99,97;;;99,97;70;
58;TERRACINA;ML. 340,00 A PONENTE DELLA FOCE DI BADINO;SANGUIGNI STEFANO;SB;Conc. N. N. 249/2008;"STABILIMENTO BALNEARE ""IL RIFUGIO""";3343,84;156,16;;;156,16;70;
59;TERRACINA;VIALE CIRCE ALTEZZA VIA BAD HOMBURG;ALLA ARISTIDE;SB;Conc. N. N. 269/2008;"STABILIMENTO BALNEARE ""IL RIVA AZZURRA""";2318,33;111,27;20,4;;131,67;70;
60;TERRACINA;LOCALITA' PONENTE DELLA FOCE DEL FIUME SISTO;SPORTING BEACH DI GOTNIC ANDREA;SB;Conc. N. N. 254/2008;"STABILIMENTO BALNEARE ""SPORTING BEACH""";4887,8;112,2;;;112,2;100;
61;TERRACINA;VIALE CIRCE ALTEZZA VIA CABOURG;SOC. ONDA MARINA DI DONATELLA BORDIGNON & ENZA GROSSI S.N.C.;SB;Conc. N. N. 276/2008;"STABILIMENTO BALNEARE ""ONDA MARINA""";2805,56;344,44;;;344,44;70;
62;TERRACINA;VIALE CIRCE ALTEZZA VIA BAD HOMBURG;JAMAICA DI PANZINI ANNA MARIA;SB;Conc. N. N. 285/2009;"STABILIMENTO BALNEARE ""JAMAICA""";2637,28;162,72;;;162,72;70;
63;TERRACINA;VIALE CIRCE ALTEZZA VIA BAD HOMBURG;SOC. MAC S.R.L.;SR;Conc. N. N. 272/2008;"STABILIMENTO BALNEARE ""LIDO DEL SOLE""";1918,52;321,48;;;321,48;70;
64;TERRACINA;VIA SAN FELICE CIRCEO KM. 8,100;CICCARELLI FRANCO;SB;Conc. N. N. 265/2008;"STABILIMENTO BALNEARE ""BAIA VERDE""";6426,26;153,74;;;153,74;94;
65;TERRACINA;KM. 30,350 PROVINCIALE MEDIANA;SOC. L'ARAGOSTA DI MARZULLO PATRIZIA & C. S.N.C.;SB;Conc. N. N. 281/2008;"STABILIMENTO BALNEARE ""L'ARAGOSTA""";1822,15;177,85;;;177,85;100;
66;TERRACINA;VIA PONTINA KM. 104,00;SOC. IPPOCAMPO 80 DI PARAVANI EVA & C. S.A.S.;SB;Conc. N. N. 279/2008;"STABILIMENTO BALNEARE ""IPPOCAMPO""";5190,07;99,93;;;99,93;150;
67;TERRACINA;VIA BADINO VECCHIA KM. 5,200 ALTEZZA RESID. LIDO D'ULISSE;SEMENTE FRANCO;SB;Conc. N. N. 259/2008;"STABILIMENTO BALNEARE ""IL CAMPANILE""";6800;;;;;170;
68;TERRACINA;VIA MEDIANA ALTEZZA RESID. LIDO DI VENERE;VENERELLI GIANCARLO;SB;Conc. N. N. 248/2008;"STABILIMENTO BALNEARE ""LIDO DI VENERE""";1658,15;114,1;;;114,1;118,15;
69;TERRACINA;VIALE CIRCE ALTEZZA VIA TOSCANA;DI LELLO FRANCESCO;SB;Conc. N. N. 253/2008;"STABILIMENTO BALNEARE ""BEACH POINT""";1286,04;92,48;21,48;;113,96;70;
70;TERRACINA;VIA SAN FELICE CIRCEO KM. 8,200;MARAGONI MARIA PIA;SB;Conc. N. N. 246/2008;"STABILIMENTO BALNEARE ""BAIA VERDE""";8371;29;;;29;120;
71;TERRACINA;VIALE CIRCE ALTEZZA VIA ROMAGNA;SOC. BAHIA S.A.S. DI MONTI PIERO & C.;SB;Conc. N. N. 151/2004;"STABILIMENTO BALNEARE ""BAHIA""";1187,2;142,8;;;142,8;70;
72;TERRACINA;VIA BADINO KM. 5,800;SAVIOLI VITTORIO;SA;Conc. N. N. 261/2008;;1326;24;;;24;50;
73;TERRACINA;VIA PROVINCIALE SAN FELICE CIRCEO KM. 7,800;SOC. LA SFIDA S.A.S. DI VIRGILIO CAIANI & C.;SB;Conc. N. N. 266/2008;"STABILIMENTO BALNEARE ""ITALCANADA""";11088,5;;;;;150;
74;TERRACINA;VIA PROVINCIALE SAN FELICE CIRCEO KM. 6,200;ASS.NE LEGA NAVALE ITALIANA - SEZ. LIDO DI ENEA;ARS;Conc. N. N. 258/2008;"""LIDO D'ENEA""";4755,33;44,67;;;44,67;240;
75;TERRACINA;PORTO BADINO SPONDA DESTRA;SOC. CANTIERE NAUTICO RICCHI MARINE S.R.L.;PO;Conc. N. N. 74/2002;;;;;;;;1191
76;TERRACINA;VIA PROVINCIALE SAN FELICE CIRCEO KM. 7,500;SOC. SABBIA D'ORO S.R.L.;SB;Conc. N. N. 247/2008;"STABILIMENTO BALNEARE ""SABBIA D'ORO""";9590,8;159,2;;;159,2;150;
77;TERRACINA;VIALE CIRCE ALTEZZA VIA MARCHE;ASS.NE PRIMO CIRCOLO REMIERO VELICO CLAUDIO CUSINATO;ARS;Conc. N. N. 238/2008;"""Iø CIRCOLO REMIERO VELICO C. CUSINATO""";1397,8;102,2;;;102,2;60;
78;TERRACINA;VIA PROVINCIALE SAN FELICE CIRCEO KM. 7,800;RECCHIUTI ANGELA;SB;Conc. N. N. 277/2008;"STABILIMENTO BALNEARE ""LA SIESTA""";11245,32;154,68;;;154,68;150;
79;TERRACINA;VIA DEL MOLO n. 18 - VECCHIA DARSENA DEL PORTO;SOC. F.LLI DE LUCA LUIGI E PAOLO S.N.C.;PO;Conc. N. N. 3/2006;;;;;;;;1679,29
80;TERRACINA;VIA BADINO VECCHIA KM. 5,00;DE LUCA FRANCESCO;SB;Conc. N. N. 280/2008;TURISTICO-RICREATIVO;5852,34;236,66;;;236,66;140;
81;TERRACINA;VIALE CIRCE ALTEZZA VIA FRIULI VENEZIA GIULIA;CIRILLO RAFFAELLA;SB;Conc. N. N. 155/2004;"STABILIMENTO BALNEARE ""LA STIVA""";799,75;;;93;93;40;
82;TERRACINA;VIALE CIRCE ALTEZZA VIA TOSCANA;SOC. IL PICCOLO FARO S.N.C. DI MATTEI ANGELO & C.;SB;Conc. N. N. 267/2008;"STABILIMENTO BALNEARE ""IL PICCOLO FARO""";2290,4;109,6;;;109,6;60;
83;TERRACINA;VIA BADINO KM. 3,600 - LOCALITA' VIGNA LUISA;SOC. PRIMAVERA 82 DI ANGELO FUSCO & C. S.A.S.;SB;Conc. N. N. 255/2008;"STABILIMENTO BALNEARE ""ALOHA""";7490,78;209,22;;;209,22;140;
84;TERRACINA;LOCALITA' BADINO;DI SAURO ARMANDO;SB;Conc. N. N. 273/2008;"STABILIMENTO BALNEARE ""CALYPSO""";2080,53;159,47;;;159,47;70;
85;TERRACINA;VIALE CIRCE ALTEZZA VIA DEI LUCANI;BURZUMATO LUISELLA;SB;Conc. N. N. 264/2008;"STABILIMENTO BALNEARE ""IL GALEONE""";1661,7;258,3;;;258,3;64;
86;TERRACINA;CANALE PORTATORE DI BADINO SPONDA DESTRA;SOC. STARMARIN S.R.L.;PO;Conc. N. N. 50/2007;AUTOBADINO;;444,4;;;444,4;;2255,6
87;TERRACINA;CANALE PORTATORE DI BADINO SPONDA DX E SPONDA SX;SOC. NAUTILAND S.R.L.;PO;Conc. N. N. 11/2008;NAUTILAND;;438,3;;;438,3;;2498,7
88;TERRACINA;FOCE FIUME SISTO - SPONDA SINISTRA;CURATELA FALLIMENTARE SAVIANI ALBERTO;PO;Conc. N. N. 55/1999;;422,5;;;;;;245
89;TERRACINA;VIA PONTINA KM. 106,00 - LOCALITA' BADINO;SOC. CRIRO' di MANGONI ANGELA & C. S.a.s.;SB;Conc. N. N. 245/2008;"STABILIMENTO BALNEARE ""PUNTO BRAZIL""";2674,92;76,68;;;76,68;50;
90;TERRACINA;CANALE PORTATORE DI BADINO SPONDA DESTRA;SOC. NAUTICA VANNI di VANNI MILENA & C. S.a.s.;PO;Conc. N. N. 93/2005;;228;72;;;72;;300
91;TERRACINA;DARSENA DI LEVANTE;CONSORZIO MARINA DI TERRACINA;PO;Conc. N. N. 79/2006;;4390;530;;;530;;4920
92;TERRACINA;DARSENA DI LEVANTE;SOC. DARSENA TRAIANA S.A.S. DI MARIGLIANI BENEDETTO & C.;PO;Conc. N. N. 77/2006;;930;96;;;96;;1026
93;TERRACINA;FOCE PORTO BADINO;CONSORZIO DI PORTO BADINO;PO;Conc. N. N.48/2007;;2250;;;;;;2250
94;TERRACINA;VIA PONTINA KM. 106,500;SOC. MAC S.R.L.;SR;Conc. N. N.268/2008;"AFFERENTE A ""LIDO DEL SOLE""";1431,75;38,25;;;38,25;42;
95;TERRACINA;FOCE FIUME SISTO SPONDA SINISTRA;SOC. PUNTO NAUTICA S.R.L.;PO;Conc. N. N. 22/2006;;1875,5;4;;;4;;1253
96;TERRACINA;DARSENA DI LEVANTE;ASS. NE PESCA SPORTIVA DILETTANTISTICA POSIDONIA;PO;Conc. N. N. 6/2007;;1357,5;;;;;;1281
97;TERRACINA;DARSENA DI LEVANTE;ASS.NE CIRCOLO VELICO PALINURO;PO;Conc. N. N. 64/2003;CIRCOLO VELICO PALINURO;132,3;14,7;;;14,7;;132,3
98;TERRACINA;VECCHIA DARSENA - VIA DEL MOLO;TIRRENIA YACHTING DI SMALTINI DANILO;PO;Conc. N. N.18/2008;;270;;;;;;270
99;TERRACINA;FOCE FIUME SISTO SPONDA DESTRA;MOTONAUTICA VALENTI DI MAGNANI ANTONELLA;PO;Conc. N. N. 53/2007;;366;;;;;;366
100;TERRACINA;DARSENA DI LEVANTE;SOC. DARSENA TRAIANA S.A.S. DI MARIGLIANI BENEDETTO & C.;PO;Conc. N. N. 24/2007;;47,5;24;;;24;;
101;TERRACINA;VIA BADINO VECCHIA - ALTEZZA RESIDENCE RIVA AZZURRA;ASS. CLUB VELICO RIVA AZZURRA;ARS;Conc. N. N. 287/2009;;4350;;;;;100;
102;TERRACINA;VIA APPIA KM. 104,00;SOC. COSTAZZURRA S.R.L.;SR;Conc. N. N. 307/2012;;1907,75;;;;;220;
103;TERRACINA;VIA C. COLOMBO n. 32;SOC. COOP. PESCATORI LA SIRENA a R.L.;ER;Conc. N. N. 306/2012;;;36,91;;;36,91;;
104;TERRACINA;VIA APPIA KM. 104,200;FUSCO UBALDO, FUSCO STEFANO e SOC. GESCAMP S.R.L.;SR;Conc. N. N. 313/2012;TURISTICO-RICREATIVO;2200;;;;;220;
105;TERRACINA;VIALE CIRCE ALTEZZA VIA BASILICATA;COMUNE DI TERRACINA - ACCESSO ARENILE;SLA;Conc. N. N. 0381 REG. E N. 447 REP.  del 02.04.2014;;;;60,56;;60,56;;
106;TERRACINA;VIALE CIRCE ALTEZZA VIA UMBRIA;COMUNE DI TERRACINA - ACCESSO ARENILE;SLA;Conc. N. N. 0382 REG. E N. 448 REP.  del 02.04.2014;;;;60,56;;60,56;;
107;TERRACINA;VIALE CIRCE ALTEZZA VIA LOMBARDIA;COMUNE DI TERRACINA - ACCESSO ARENILE;SLA;Conc. N. N. 0383 REG. E N. 449 REP.  del 02.04.2014;;;;60,56;;60,56;;
108;TERRACINA;VIALE CIRCE ALTEZZA VIA CABOURG;COMUNE DI TERRACINA - ACCESSO ARENILE;SLA;Conc. N. N. 0384 REG. E N. 450 REP. del 02.04.2014;;;;60,56;;60,56;;
1;VENTOTENE;PORTO ROMANO;BERNARDO DANIELE;PO;Conc. N. 01/2010;;;;;;;;572,26
2;VENTOTENE;PORTO NUOVO;SPORTIELLO MODESTO e LANGELLA ANTONELLA;PO;Conc. N. 02/2010;;;;;;;;1904,94
3;VENTOTENE;PORTO NUOVO;PENNACCHIO PIETRO;ER;Conc. N. 03/2010;RISTORANTE L'ARAGOSTA;114;;;;;;
4;VENTOTENE;PORTO NUOVO;GARGIULO ANTONIO - ORMEGGIATORI ISOLE PONTINE;NIAB;Conc. N. 04/2010;;;3,3;;;3,3;;
5;VENTOTENE;PORTO ROMANO;MUSELLA LUIGI;PO;Conc. N. 01/2011;;;;;;;;40
6;VENTOTENE;PORTO ROMANO;TALIERCIO RAFFAELE;PO;Conc. N. 02/2011;;;;;;;;89,6
